datetime_beginning_utc,datetime_beginning_ept,pnode_name,pnode_id,marginal_co2_rate,marginal_so2_rate,marginal_nox_rate
6/22/2023 5:00:00 AM,6/22/2023 1:00:00 AM,PJM-RTO,1,979.7339493908,0.0910164963,0.2666728073
6/22/2023 4:00:00 AM,6/22/2023 12:00:00 AM,PJM-RTO,1,1317.6528260850,0.2947044026,0.4370755066
6/22/2023 3:00:00 AM,6/21/2023 11:00:00 PM,PJM-RTO,1,1273.8780130308,0.0153043439,0.6374705861
6/22/2023 2:00:00 AM,6/21/2023 10:00:00 PM,PJM-RTO,1,1349.3584369542,0.2218175962,0.7346240210
6/22/2023 1:00:00 AM,6/21/2023 9:00:00 PM,PJM-RTO,1,1509.8714952275,0.2813732461,1.1080832329
6/22/2023 12:00:00 AM,6/21/2023 8:00:00 PM,PJM-RTO,1,1529.6901487108,0.3867259354,0.8712959013
6/21/2023 10:00:00 PM,6/21/2023 6:00:00 PM,PJM-RTO,1,1501.4706056000,0.3970622287,1.7003485087
6/21/2023 8:00:00 PM,6/21/2023 4:00:00 PM,PJM-RTO,1,1368.4381360467,0.2025068197,0.5438988777
6/21/2023 7:00:00 PM,6/21/2023 3:00:00 PM,PJM-RTO,1,870.7957623883,0.3206125793,4.2767851044
6/21/2023 6:00:00 PM,6/21/2023 2:00:00 PM,PJM-RTO,1,1105.9723888625,0.1438311411,0.2673405635
6/21/2023 5:00:00 PM,6/21/2023 1:00:00 PM,PJM-RTO,1,1054.3864037767,0.1339780657,0.2568461441
6/21/2023 4:00:00 PM,6/21/2023 12:00:00 PM,PJM-RTO,1,957.5773283183,0.1574553462,0.1233327458
6/21/2023 3:00:00 PM,6/21/2023 11:00:00 AM,PJM-RTO,1,886.2025479458,0.0223933408,0.8321645371
6/21/2023 2:00:00 PM,6/21/2023 10:00:00 AM,PJM-RTO,1,882.1276774958,0.0045116776,0.1162402021
6/21/2023 1:00:00 PM,6/21/2023 9:00:00 AM,PJM-RTO,1,949.1119962692,0.0988250955,0.1571845214
6/21/2023 12:00:00 PM,6/21/2023 8:00:00 AM,PJM-RTO,1,860.7338781100,0.0043324549,0.0512946934
6/21/2023 11:00:00 AM,6/21/2023 7:00:00 AM,PJM-RTO,1,863.9024495367,0.0043405818,0.0676056864
6/21/2023 10:00:00 AM,6/21/2023 6:00:00 AM,PJM-RTO,1,874.9936234800,0.0044102347,0.0553753780
6/21/2023 9:00:00 AM,6/21/2023 5:00:00 AM,PJM-RTO,1,946.4857823375,0.0956604994,0.1833716655
6/21/2023 8:00:00 AM,6/21/2023 4:00:00 AM,PJM-RTO,1,872.6773495767,0.0224387238,0.0881915541
6/21/2023 7:00:00 AM,6/21/2023 3:00:00 AM,PJM-RTO,1,881.4961062345,0.0498552597,0.0346977886
6/21/2023 6:00:00 AM,6/21/2023 2:00:00 AM,PJM-RTO,1,1144.7683819717,0.3633333890,0.4160028830
6/21/2023 5:00:00 AM,6/21/2023 1:00:00 AM,PJM-RTO,1,1536.6109966558,0.8452611225,1.1527641156
6/21/2023 4:00:00 AM,6/21/2023 12:00:00 AM,PJM-RTO,1,1576.0709554167,0.5607711047,0.5924877939
6/21/2023 3:00:00 AM,6/20/2023 11:00:00 PM,PJM-RTO,1,1330.3404273183,0.2406133196,0.5312660059
6/21/2023 2:00:00 AM,6/20/2023 10:00:00 PM,PJM-RTO,1,1353.3309450625,0.4910380464,0.4501308665
