Open,Close,High,Low,Volume,Date
0,75.3,0,0,,04/19/17
0,75.65,0,0,,04/18/17
0,75.45,0,0,,04/17/17
0,75.45,0,0,,04/13/17
0,74.9,0,0,,04/12/17
75.1,75.1,75.1,75.1,,04/11/17
76.05,75.5,76.05,75.5,,04/10/17
0,76.65,0,0,,04/07/17
0,77.8,0,0,,04/06/17
77.1,77.25,77.1,77.1,,04/05/17
77.1,76.15,77.9,77.1,,04/04/17
0,76.8,0,0,,04/03/17
0,72.65,0,0,,03/31/17
0,73.7,0,0,,03/30/17
0,73.7,0,0,,03/29/17
0,73.7,0,0,,03/28/17
0,73.55,0,0,,03/27/17
74,73.45,74,74,,03/24/17
0,73.8,0,0,,03/23/17
0,73.65,0,0,,03/22/17
0,73.8,0,0,,03/21/17
0,74.15,0,0,,03/20/17
0,74.85,0,0,,03/17/17
0,74.7,0,0,,03/16/17
0,75.15,0,0,,03/15/17
0,75.25,0,0,,03/14/17
0,75.85,0,0,,03/13/17
75.6,75.35,75.6,75.3,,03/10/17
0,74.7,0,0,,03/09/17
0,76.1,0,0,,03/08/17
0,75.8,0,0,,03/07/17
0,76.8,0,0,,03/06/17
77.55,76.9,77.55,77,,03/03/17
78,77.95,78,77.85,,03/02/17
78.1,78.8,78.65,78.1,,03/01/17
78.1,77.9,78.15,77.9,,02/28/17
79.05,78.65,79.05,78.4,,02/27/17
0,79.85,0,0,,02/24/17
0,82.1,0,0,,02/23/17
0,82.1,0,0,,02/22/17
0,82.2,0,0,,02/21/17
0,82.2,0,0,,02/20/17
0,81.8,0,0,,02/17/17
0,81.75,0,0,,02/16/17
0,81.5,0,0,,02/15/17
80.25,80.5,80.75,80.25,,02/14/17
80.45,80.5,80.45,80.45,,02/13/17
81.05,81.2,81.1,81,,02/10/17
0,82.8,0,0,,02/09/17
83.75,83.1,83.75,83.7,,02/08/17
0,84.1,0,0,,02/07/17
84.15,84.3,84.3,84.15,,02/06/17
0,84.55,0,0,,02/03/17
85.25,85.1,85.3,85.25,,02/02/17
85.7,84.65,85.7,85.5,,02/01/17
83.75,85.3,83.75,83.75,,01/31/17
82,82.3,82.5,82,,01/30/17
88.6,80.85,88.6,88.5,,01/27/17
0,88.5,0,0,,01/26/17
0,88.85,0,0,,01/25/17
0,89.2,0,0,,01/24/17
90,89.3,90,89.6,,01/23/17
0,89.2,0,0,,01/20/17
0,88.55,0,0,,01/19/17
0,89.95,0,0,,01/18/17
0,89.8,0,0,,01/17/17
0,88.05,0,0,,01/16/17
