"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"TN","Johnsonville",3406,2012,3618994.81,,17810.311,3961472.572,4457.985,38081957.486
"TN","Kingston",3407,2012,4416984.92,,2266.223,4859634.421,1429.898,46669691.444
"TX","W A Parish",3470,2012,14506838.21,,37857.762,15063386.727,3525.624,143880351.063
"TX","Big Brown",3497,2012,7783530.04,,60681.143,8290306.514,5043.903,76148636.166
"UT","Carbon",3644,2012,1380198.06,,8307.207,1533476.336,3614.586,14946130.757
"VA","Clinch River",3775,2012,896618.42,,3881.48,918331.166,872.526,8756097.682
"VA","Glen Lyn",3776,2012,82143.7,,612.619,98132.991,199.687,935720.957
"VA","Potomac River",3788,2012,360981.51,,519.425,434300.173,459.217,4232986.17
"VA","Bremo Power Station",3796,2012,383407.36,,2949.706,368692.678,856.236,3593688.857
"VA","Chesterfield Power Station",3797,2012,3868623.94,,1222.727,3787923.48,1530.619,36919348.373
"VA","Chesapeake Energy Center",3803,2012,1486785.83,,9471.934,1539543.699,2844.874,15005348.408
"VA","Yorktown Power Station",3809,2012,712597.38,,7488.047,686899.483,1787.423,6694949.066
"WA","Centralia",3845,2012,3996516.19,,1228.017,4542415.372,4649.437,43735155.998
"WV","John E Amos",3935,2012,14119179.67,,3133.18,13060997.293,3240.303,124532808.176
"WV","Kanawha River",3936,2012,1103762.36,,7258.868,1137942.384,1497.792,10849974.869
"WV","Phil Sporn",3938,2012,1066434.12,,8078.254,1085964.936,1225.141,10354363.129
"WV","Albright Power Station",3942,2012,194882.54,,2488.947,208567.053,343.762,2032840.564
"WV","Fort Martin Power Station",3943,2012,5993892.29,,3422.365,5579623.911,7961.535,53200257.26
"WV","Harrison Power Station",3944,2012,10889216.49,,12048.773,10348557.328,15609.339,100863106.744
"WV","Rivesville Power Station",3945,2012,1804.63,,22.143,8404.585,25.445,81909.909
"WV","Willow Island Power Station",3946,2012,19378.52,,185.677,25561.248,66.31,246923.402
"WV","Kammer",3947,2012,1900408.36,,19716.638,1885501.441,3854.406,17977744.241
"WV","Mitchell (WV)",3948,2012,8190711.47,,3454.653,7695799.418,1866.387,73377203.498
"WV","Mount Storm Power Station",3954,2012,9031681.54,,5448.92,9031420.178,3693.484,88025546.239
"WI","Bay Front",3982,2012,202765.91,,67.697,358551.421,254.756,3469746.866
"WI","South Oak Creek",4041,2012,4371893.22,,2071.251,4865640.483,1977.586,46544125.114
"WI","Valley (WEPCO)",4042,2012,,7601079.52,3518.961,931958.947,1002.004,9083408.671
"WI","Edgewater (4050)",4050,2012,3833509.1,,11264.69,3990738.955,2606.299,38050543.046
"WI","Nelson Dewey",4054,2012,940019.08,,3303.755,1198230.503,2625.517,11422654.324
"WI","Pulliam",4072,2012,639652.94,,1845.471,709589.492,849.394,6814161.304
"WI","Weston",4078,2012,5374845.97,,6056.196,4919484.335,2117.174,46959696.017
"WI","Manitowoc",4125,2012,,933772.91,207.732,145247.268,75.046,1395358.389
"WI","Alma",4140,2012,85248.23,,877.483,98381.679,170.538,938040.481
"WI","Genoa",4143,2012,982143.66,,2378.891,1042716.143,545.684,9941995.18
"WY","Dave Johnston",4158,2012,5360810.93,,8722.443,5720670.762,6999.289,54544910.881
"WY","Naughton",4162,2012,5444941.23,,7993.119,5661930.288,8310.969,54026744.715
"MI","Michigan Hub Plant",4259,2012,267670.79,,856.304,395873.201,406.126,3858411.838
"WI","J P Madgett",4271,2012,2103104.21,,4276.096,2306552.573,2840.646,21992319.065
"AZ","Navajo Generating Station",4941,2012,17364176.61,,4402.459,16925558.46,16468.328,164966569.945
"AL","James H Miller Jr",6002,2012,18831544,,736.661,20294975.475,6934.358,193506649.85
"WV","Pleasants Power Station",6004,2012,8770165.05,,12896.851,7999232.727,5202.767,77825308.205
"AR","White Bluff",6009,2012,9920444.93,,31687.164,11212812.887,14235.626,106932720.244
"IL","Duck Creek",6016,2012,3075539.42,,295.852,2645073.227,1246.525,25219962.032
"IL","Newton",6017,2012,5898531.66,,16519.06,5875890.299,3003.877,56024904.645
"KY","East Bend",6018,2012,3514682.46,,1496.631,3328014.129,2939.439,32436811.435
"OH","W H Zimmer Generating Station",6019,2012,5273005.24,,11975.469,4666502.286,6574.813,45482538.957
"CO","Craig",6021,2012,9874824.79,,3960.968,9887989.406,13498.487,94279071.673
"ND","Coal Creek",6030,2012,9939065.7,,16272.73,10519914.368,8658.126,96628220.116
